student_id,course,gender,region,highest_education,age_band,num_prev_attempts,studied_credits,disability,final_result
100000,AAA,F,Wales,No Formal quals,0-35,0,90,N,Withdrawn
100001,DDD,F,Scotland,Lower Than A Level,0-35,0,60,N,Distinction
100002,DDD,F,London Region,A Level or Equivalent,0-35,0,60,N,Pass
100003,CCC,F,London Region,Lower Than A Level,35-55,1,60,N,Fail
100004,CCC,M,Wales,Lower Than A Level,0-35,0,60,Y,Pass
100005,EEE,M,Wales,HE Qualification,0-35,0,60,N,Fail
100006,AAA,M,Wales,Lower Than A Level,0-35,0,60,N,Pass
100007,DDD,F,South Region,A Level or Equivalent,55<=,2,60,N,Pass
100008,BBB,M,Wales,HE Qualification,0-35,0,90,N,Fail
100009,AAA,M,London Region,Lower Than A Level,0-35,0,90,N,Fail
100010,CCC,M,South Region,A Level or Equivalent,0-35,0,90,N,Withdrawn
100011,EEE,F,Scotland,HE Qualification,0-35,1,60,N,Pass
100012,DDD,F,Wales,No Formal quals,35-55,1,60,N,Pass
100013,DDD,F,East Anglian Region,Lower Than A Level,35-55,0,90,N,Pass
100014,DDD,F,Ireland,Post Graduate Qualification,0-35,1,90,N,Withdrawn
100015,DDD,M,South West Region,HE Qualification,35-55,0,60,N,Fail
100016,CCC,M,Scotland,A Level or Equivalent,0-35,0,120,Y,Fail
100017,AAA,M,South West Region,A Level or Equivalent,35-55,1,120,N,Withdrawn
100018,EEE,F,London Region,HE Qualification,0-35,0,120,N,Pass
100019,CCC,F,South West Region,HE Qualification,0-35,0,90,N,Distinction
100020,CCC,M,Scotland,Lower Than A Level,35-55,0,60,N,Distinction
100021,BBB,M,South West Region,Post Graduate Qualification,35-55,3,120,N,Fail
100022,AAA,M,Ireland,No Formal quals,35-55,0,120,N,Pass
100023,EEE,F,East Anglian Region,A Level or Equivalent,35-55,0,120,N,Fail
100024,DDD,M,Ireland,HE Qualification,35-55,0,120,N,Pass
100025,DDD,F,London Region,A Level or Equivalent,35-55,0,120,N,Distinction
100026,CCC,M,South Region,HE Qualification,0-35,0,90,N,Distinction
100027,EEE,F,East Anglian Region,HE Qualification,0-35,0,60,N,Pass
100028,CCC,F,Wales,Lower Than A Level,35-55,1,90,Y,Pass
100029,CCC,M,London Region,Lower Than A Level,0-35,0,90,Y,Withdrawn
100030,CCC,F,East Anglian Region,Lower Than A Level,35-55,3,120,N,Pass
100031,BBB,F,London Region,No Formal quals,0-35,1,60,N,Withdrawn
100032,AAA,F,Ireland,A Level or Equivalent,0-35,0,90,N,Withdrawn
100033,CCC,F,South Region,No Formal quals,0-35,0,150,N,Withdrawn
100034,EEE,M,Scotland,A Level or Equivalent,35-55,0,60,N,Distinction
100035,AAA,M,South West Region,Lower Than A Level,0-35,0,60,N,Fail
100036,EEE,F,Wales,No Formal quals,35-55,0,90,N,Withdrawn
100037,EEE,M,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Distinction
100038,BBB,M,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Pass
100039,DDD,M,Ireland,Lower Than A Level,35-55,0,90,N,Pass
100040,AAA,M,Scotland,Lower Than A Level,0-35,0,150,N,Pass
