student_id,week,week_clicks,cum_clicks,assessment_score,avg_assessment_so_far
100000,1,19,19,,
100000,2,16,35,,
100000,3,20,55,,
100000,4,24,79,71.90780793085214,71.90780793085214
100000,5,24,103,,71.90780793085214
100000,6,23,126,,71.90780793085214
100000,7,19,145,,71.90780793085214
100000,8,19,164,76.60392047295456,74.25586420190335
100000,9,27,191,,74.25586420190335
100000,10,18,209,,74.25586420190335
100000,11,21,230,,74.25586420190335
100000,12,17,247,69.18944603626286,72.56705814668986
100001,1,19,19,,
100001,2,29,48,,
100001,3,20,68,,
100001,4,23,91,84.35065267048029,84.35065267048029
100001,5,24,115,,84.35065267048029
100001,6,12,127,,84.35065267048029
100001,7,21,148,,84.35065267048029
100001,8,19,167,100.0,92.17532633524014
100001,9,13,180,,92.17532633524014
100001,10,21,201,,92.17532633524014
100001,11,27,228,,92.17532633524014
100001,12,15,243,95.16579057012989,93.17214774687005
100002,1,20,20,,
100002,2,17,37,,
100002,3,18,55,,
100002,4,16,71,100.0,100.0
100002,5,17,88,,100.0
100002,6,26,114,,100.0
100002,7,13,127,,100.0
100002,8,16,143,97.45940676534279,98.7297033826714
100002,9,9,152,,98.7297033826714
100002,10,15,167,,98.7297033826714
100002,11,22,189,,98.7297033826714
100002,12,26,215,86.39359592466177,94.61766756333486
100003,1,13,13,,
100003,2,13,26,,
100003,3,13,39,,
100003,4,17,56,48.57094806936835,48.57094806936835
100003,5,10,66,,48.57094806936835
100003,6,13,79,,48.57094806936835
100003,7,11,90,,48.57094806936835
100003,8,3,93,75.71974972205986,62.14534889571411
100003,9,8,101,,62.14534889571411
100003,10,7,108,,62.14534889571411
100003,11,0,108,,62.14534889571411
100003,12,1,109,38.4570324983212,54.249243429916476
100004,1,24,24,,
100004,2,7,31,,
100004,3,10,41,,
100004,4,6,47,66.85949339670921,66.85949339670921
100004,5,13,60,,66.85949339670921
100004,6,11,71,,66.85949339670921
100004,7,10,81,,66.85949339670921
100004,8,13,94,65.25799953180372,66.05874646425647
100004,9,6,100,,66.05874646425647
100004,10,9,109,,66.05874646425647
100004,11,15,124,,66.05874646425647
100004,12,9,133,66.34332814489477,66.15360702446924
